FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
Greenfield Wind,Greenfield Wind,Greenfield Wind,Community Wind,Greenfield Wind Power LLC (community owned),,City of Greenfield - excess to Central Iowa Power Cooperative,Greenfield IA,1.6 MW,1,2012,GE Energy,In Service,"41.29064139°, -94.48559761°",1.6,41.29064139,-94.48559761
Greensburg Wind Farm,Greensburg Wind Farm,Greensburg Wind Farm,Commercial Scale Wind,John Deere Wind,John Deere Wind,,Southwest of Greensburg KS,12.5 MW,10,2010,Suzlon Energy Company,In Service,"37.576188°, -99.320898°",12.5,37.576188,-99.320898
Groton,Groton,Groton,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,NSTAR,Hebron NH,48 MW,24,2012,Gamesa,In Service,"43.7550717°, -71.8284142°",48,43.7550717,-71.8284142
Gulf Wind Farm,Gulf Wind Farm,Gulf Wind,Commercial Scale Wind,Pattern Energy,Babcock & Brown,Pattern Energy,South of Sarita TX,283.2 MW,118,2009,Mitsubishi,In Service,"27.081328°, -97.561619°",283.2,27.081328,-97.561619
Hackberry Wind Project,Hackberry Wind Project,Hackberry Wind Project,Commercial Scale Wind,RES Americas,RES Americas,Austin Energy,Shackelford County TX,165.6 MW,72,2008,Siemens,In Service,"32.765491°, -99.413402°",165.6,32.765491,-99.413402
Half Hollow Nursery,Half Hollow Nursery,Half Hollow Nursery,Definition:Small Scale Wind,Half Hollow Nursery,,Half Hollow Nursery,Laurel NY,0.1 MW,1,2010,Northern Power Systems,In Service,"40.79109983°, -73.33895981°",0.1,40.79109983,-73.33895981
Hampton Roads Demonstration Project,Hampton Roads Demonstration Project,Hampton Roads Demonstration Project,Offshore Wind,,Virginia State Government,,Chesapeake Bay VA,15 MW,3,,,Proposed,"36.965°, -76.289°",15,36.965,-76.289
Hancock County Wind Farm,Hancock County Wind Farm,Hancock County Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Alliant Energy (44 MW); rest purchased by Corn Belt Cooperative and Cedar Falls,Hancock County IA,97.68 MW,148,2002,Vestas,In Service,"43.066524°, -93.70481°",97.68,43.066524,-93.70481
Hanover,Hanover,Hanover,Community Wind,City of Hanover,City of Hanover,,Hanover MA,0.25 MW,1,,Siva,Under Construction,"42.13095657°, -70.83262324°",0.25,42.13095657,-70.83262324
Happy Jack Wind Farm,Happy Jack Wind Farm,Happy Jack,Commercial Scale Wind,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Cheyenne Light Fuel & Power,Near Cheyenne WY,29.4 MW,14,2008,Suzlon Energy Company,In Service,"41.137532°, -104.994929°",29.4,41.137532,-104.994929
Harbec Plastic Wind Turbine Wind Farm,Harbec Plastic Wind Turbine Wind Farm,Harbec Plastic Wind Turbine,Community Wind,Harbeck Plastic,Lorax Energy Systems,Harbeck Plastic,Rochester NY,0.25 MW,1,2002,Fuhrlander,In Service,"43.226039°, -77.361776°",0.25,43.226039,-77.361776
Harbec Plastics,Harbec Plastics,Harbec Plastics,Community Wind,Northern Developments LLC,Harvest the Wind,,Ontario NY,0.85 MW,1,2012,Gamesa,In Service,"43.2260525°, -77.36176372°",0.85,43.2260525,-77.36176372
Harbor Wind,Harbor Wind,Harbor Wind,Commercial Scale Wind,Harbor Wind LLC,Revolution Energy,,Corpus Christi TX,9 MW,6,2012,Guodian,In Service,"27.83061326°, -97.43418217°",9,27.83061326,-97.43418217
Hardin-Hilltop Wind Project,Hardin-Hilltop Wind Project,Hardin-Hilltop Wind Project,Community Wind,Community wind,Community wind,Alliant,Greene County IA,14.7 MW,7,2007,Suzlon Energy Company,In Service,"42.086204°, -94.349999°",14.7,42.086204,-94.349999
Hardscrabble Wind Power Project,Hardscrabble Wind Power Project,Hardscrabble Wind Power Project,Commercial Scale Wind,,Atlantic Wind,,Fairfield and Norway north of Little Falls NY,74 MW,37,2010,Gamesa,In Service,"43.076452°, -74.859602°",74,43.076452,-74.859602
Hartland Wind Farm,Hartland Wind Farm,Hartland Wind Farm,Commercial Scale Wind,,Denali Energy Inc./Montgomery Energy Partners LP,,Ward ND,500 MW,333,,,Proposed,"48.556661°, -101.7777865°",500,48.556661,-101.7777865
Harvest II,Harvest II,Harvest II,Commercial Scale Wind,Exelon Wind,Exelon Wind,Consumers Energy,Pigeon MI,59.4 MW,33,2012,Vestas,In Service,"43.83861292°, -83.2171011°",59.4,43.83861292,-83.2171011
Harvest Wind Farm I,Harvest Wind Farm I,Harvest Wind Farm,Commercial Scale Wind,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Cowlitz PUD; Lakeview Light and Power; Peninsula Light; Eugene Water and Electri,Northwest of Roosevelt,98.9 MW,43,2009,Siemens,In Service,"45.855664°, -120.288548°",98.9,45.855664,-120.288548
Harvest Wind Farm II,Harvest Wind Farm II,Harvest Wind Farm,Commercial Scale Wind,John Deere Wind Energy,John Deere Wind Energy,Wolverine Power Cooperative,Oliver and Chandler Townships MI,52.8 MW,32,2008,Vestas,In Service,"43.829789°, -83.222872°",52.8,43.829789,-83.222872
Hasselbach Meats,Hasselbach Meats,Hasselbach Meats,Definition:Small Scale Wind,Hasselbach Meats,,Hasselbach Meats,Fremont OH,0.1 MW,1,2010,Northern Power Systems,In Service,"41.44069963°, -83.13450515°",0.1,41.44069963,-83.13450515
Hastings Public Schools Wind Project,Hastings Public Schools Wind Project,Hastings Public Schools,Community Wind,,,,NE,,1,,SkyStream,,"40.601967°, -98.393356°",0,40.601967,-98.393356
Hatchet Ridge Wind Farm,Hatchet Ridge Wind Farm,Hatchet Ridge Wind Farm,Commercial Scale Wind,,RES Americas/Pattern Energy,Pacific Gas & Electric Co,West of Burney CA,101.2 MW,44,2010,Siemens,In Service,"40.875836°, -121.741233°",101.2,40.875836,-121.741233
Hawaii Renewable,Hawaii Renewable,Hawaii Renewable,Commercial Scale Wind,EnXco,EnXco,Hawaii Electric Light Co.,Near Upolu Point Big Island HI,10.56 MW,16,2006,Vestas,In Service,"20.2564°, -155.850409°",10.56,20.2564,-155.850409
Hawkeye,Hawkeye,Hawkeye,Commercial Scale Wind,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Rippey IA,37.5 MW,15,2012,Nordex,In Service,"42.92513165°, -92.02989578°",37.5,42.92513165,-92.02989578
Hay Canyon Wind Farm,Hay Canyon Wind Farm,Hay Canyon Wind Farm,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Snohomish Public Utility District,Near Moro OR,100.8 MW,48,2009,Suzlon Energy Company,In Service,"45.479548°, -120.741491°",100.8,45.479548,-120.741491
Hayes Center Public Schools Wind Project,Hayes Center Public Schools Wind Project,Hayes Center Public Schools,Community Wind,,,,NE,,1,,SkyStream,,"40.510666°, -101.015503°",0,40.510666,-101.015503
Heartland Community College,Heartland Community College,Heartland Community College,Community Wind,Heartland Community College,Harvest the Wind,Heartland Community College,Normal IL,1.65 MW,1,2012,Vestas,In Service,"40.53671526°, -89.0187192°",1.65,40.53671526,-89.0187192
Henley Middle School Wind Project,Henley Middle School Wind Project,Henley Middle School,Community Wind,,,,VA,,1,2011,SkyStream,In Service,"38.053114453895°, -78.704615682364°",0,38.053114453895,-78.704615682364
Heritage Flight,Heritage Flight,Heritage Flight,Definition:Small Scale Wind,,,,South Burlington VT,0.1 MW,1,2009,Northern Power Systems,In Service,"44.46312955°, -73.14592659°",0.1,44.46312955,-73.14592659
Heritage Garden,Heritage Garden,Heritage Garden,Commercial Scale Wind,Heritage Sustainable Energy,Heritage Sustainable Energy,Consumers Energy / Detroit Edison,Garden MI,28 MW,16,2012,Gamesa,In Service,"45.776334°, -86.5527241°",28,45.776334,-86.5527241
High Lonesome Wind Farm,High Lonesome Wind Farm,High Lonesome,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,,South of Willard NM,100 MW,40,,Clipper,In Service,"34.498433°, -105.927606°",100,34.498433,-105.927606
High Mesa,High Mesa,High Mesa,Commercial Scale Wind,Exelon Wind,Exelon Wind,Idaho Power,Bliss ID,39.9 MW,19,2012,Suzlon Energy Company,In Service,"42.88797667°, -115.0169849°",39.9,42.88797667,-115.0169849
High Plains Tech Center,High Plains Tech Center,High Plains Tech Center,Definition:Small Scale Wind,High Plains Tech Center,,High Plains Tech Center,Woodward OK,0.1 MW,1,2010,Northern Power Systems,In Service,"36.40645133°, -99.4282195°",0.1,36.40645133,-99.4282195
High Plains Wind Farm,High Plains Wind Farm,High Plains,Commercial Scale Wind,PacifiCorp,PacifiCorp,PacifiCorp,Southwest of Rock River WY,99 MW,66,2009,GE Energy,In Service,"41.665943°, -106.043487°",99,41.665943,-106.043487
High Sheldon Energy Wind Farm,High Sheldon Energy Wind Farm,High Sheldon Energy Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,Market,WY County NY,112.5 MW,75,2009,GE Energy,In Service,"42.721106°, -78.406972°",112.5,42.721106,-78.406972
High Winds Wind Farm,High Winds Wind Farm,High Winds,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,PPM Energy Inc,Solano County CA,162 MW,90,2003,Vestas,In Service,"38.124844°, -121.764915°",162,38.124844,-121.764915
Highland New Wind,Highland New Wind,Highland New Wind,Commercial Scale Wind,Highland New Wind LLC,Henry McBride,,Red Oak Knob and Tamarack Ridge VA,38 MW,19,,,Under Construction,"38.464544°, -79.663324°",38,38.464544,-79.663324
Highland North,Highland North,Highland North,Commercial Scale Wind,EverPower,EverPower,Merchant,Sidman PA,75 MW,2.5,2012,Nordex,In Service,"40.31669182°, -78.66893291°",75,40.31669182,-78.66893291
Highland Wind Project,Highland Wind Project,Highland Wind Project,Commercial Scale Wind,,EverPower Renewables,,Cambria County PA,62.5 MW,25,2009,Nordex,In Service,"40.294234°, -78.699152°",62.5,40.294234,-78.699152
Highmore Wind Energy Project,Highmore Wind Energy Project,Highmore Wind Energy Project,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Basin Electric,South of Highmore SD,40.5 MW,27,2003,GE Energy,In Service,"44.380689°, -99.441683°",40.5,44.380689,-99.441683
Hilltop Wind Farm,Hilltop Wind Farm,Hilltop,Commercial Scale Wind,Hilltop Power LLC,Hilltop Power LLC,Xcel Energy,Pipestone MN,2 MW,1,2009,DeWind,In Service,"43.9985815°, -96.3128117°",2,43.9985815,-96.3128117
Hodges Badge,Hodges Badge,Hodges Badge,Community Wind,Hodges Badge Company,Hodges Badge Company,Hodges Badge Company,Portsmouth RI,0.25 MW,1,2012,Siva,In Service,"41.5664189°, -71.25492096°",0.25,41.5664189,-71.25492096
Holy Name Central Catholic School Wind Turbine,Holy Name Central Catholic School Wind Turbine,Holy Name Central Catholic School Wind Turbine,Community Wind,Holy Name Central Catholic School,Sustainable Energy Developments,Holy Name Central Catholic School,Worcester MA,0.6 MW,1,2008,Vestas,In Service,"42.24087°, -71.783879°",0.6,42.24087,-71.783879
Hooper Bay Wind Farm,Hooper Bay Wind Farm,Hooper Bay,Commercial Scale Wind,Alaska Village Electric Coop (AVEC),Alaska Village Electric Coop (AVEC),Alaska Village Electric Coop (AVEC),Hooper Bay AK,0.3 MW,3,2008,DES,In Service,"61.53572°, -166.097182°",0.3,61.53572,-166.097182
Hoosac,Hoosac,Hoosac,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,NSTAR,Florida MA,30 MW,20,2012,GE Energy,In Service,"42.7109159°, -73.0198235°",30,42.7109159,-73.0198235
Hoosier Wind Project,Hoosier Wind Project,Hoosier Wind Project,Commercial Scale Wind,EnXco,EnXco,Indianapolis Power & Light,Benton County IN,106 MW,53,2009,REpower,In Service,"40.636707°, -87.299953°",106,40.636707,-87.299953
Hope Street Academy Wind Project,Hope Street Academy Wind Project,Hope Street Academy,Community Wind,,,,KS,,1,,SkyStream,,"39.031624°, -95.733482°",0,39.031624,-95.733482
Hopkins Ridge II Wind Farm,Hopkins Ridge II Wind Farm,Hopkins Ridge II,Commercial Scale Wind,Puget Sound Energy,RES Americas,Puget Sound Energy,Columbia County,7.2 MW,4,2008,Vestas,In Service,"46.408163°, -117.813199°",7.2,46.408163,-117.813199
Hopkins Ridge Wind Farm,Hopkins Ridge Wind Farm,Hopkins Ridge Wind Farm,Commercial Scale Wind,Puget Sound Energy,RES America,Puget Sound Energy,Columbia County,149.4 MW,83,2005,Vestas,In Service,"46.420651°, -117.802155°",149.4,46.420651,-117.802155
Horse Butte Wind Project,Horse Butte Wind Project,Horse Butte Wind Project,Commercial Scale Wind,Horse Butte Wind 1 LLC,Utah Associated Municipal Power Systems,,Bonneville ID,57.6 MW,32,2012,Vestas,In Service,"43.491689°, -111.789344°",57.6,43.491689,-111.789344
Horse Hollow Expansion Wind Farm,Horse Hollow Expansion Wind Farm,Horse Hollow Expansion,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Market,Near Abilene TX,3 MW,2,2006,GE Energy,In Service,"32.243193°, -100.265633°",3,32.243193,-100.265633
Horse Hollow II Wind Farm,Horse Hollow II Wind Farm,Horse Hollow II,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Market,Taylor County TX,299 MW,130,2006,Siemens,In Service,"32.243826°, -100.131898°",299,32.243826,-100.131898
Horse Hollow III Wind Farm,Horse Hollow III Wind Farm,Horse Hollow III,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Market,Taylor County TX,223.5 MW,149,2006,GE Energy,In Service,"32.243125°, -100.045245°",223.5,32.243125,-100.045245
Horse Hollow Wind Energy Center,Horse Hollow Wind Energy Center,Horse Hollow Wind Energy Center,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,,Near Abilene TX,213 MW,142,2005,GE Energy,In Service,"32.230566°, -100.047991°",213,32.230566,-100.047991
Horseshoe Bend Wind Farm,Horseshoe Bend Wind Farm,Horseshoe Bend,Commercial Scale Wind,United Materials,Exergy Development Group,Idaho Power,West of Great Falls MT,9 MW,6,2006,GE Energy,In Service,"47.497516°, -111.432567°",9,47.497516,-111.432567
Hot Springs Wind Farm,Hot Springs Wind Farm,Hot Springs,Commercial Scale Wind,Idaho Windfarms / John Deere,Idaho Windfarms,Idaho Power,Elmore County ID,21 MW,21,2009,Suzlon Energy Company,In Service,"42.95°, -115.63°",21,42.95,-115.63
Howard,Howard,Howard,Commercial Scale Wind,EverPower,EverPower,NYSERDA / Merchant,Hornell NY,51.25 MW,25,2011,REpower,In Service,"42.313707°, -77.5494109°",51.25,42.313707,-77.5494109
Howard Wind Energy Project,Howard Wind Energy Project,Howard Wind Energy Project,Community Wind,City of Howard,City of Howard,City of Howard,Howard SD,0.22 MW,2,2001,Micon,In Service,"44.0076°, -97.5267°",0.22,44.0076,-97.5267
Hudson Canyon,Hudson Canyon,Hudson Canyon,Offshore Wind,Deepwater Wind Long Island,Deepwater Wind,,Atlantic Ocean NY,"1,000 MW",200,,,Proposed,"40.151°, -73.53°",1000,40.151,-73.53
Hueco Mountain Wind Ranch,Hueco Mountain Wind Ranch,Hueco Mountain Wind Ranch,Commercial Scale Wind,El Paso Electric Co,Cielo Wind Power,El Paso Electric Co,El Paso County TX,1.32 MW,2,2001,Vestas,In Service,"31.6966°, -106.295°",1.32,31.6966,-106.295
Hull Wind Farm,Hull Wind Farm,Hull,Commercial Scale Wind,Hull Municipal Light Department,Hull Municipal Light Department,Hull Municipal Light Department,Hull MA,0.66 MW,1,2001,Vestas,In Service,"42.2727°, -70.8597°",0.66,42.2727,-70.8597
Hull Wind II Wind Farm,Hull Wind II Wind Farm,Hull II,Commercial Scale Wind,Hull Municipal Light Department,Hull Municipal Light Department,Hull Municipal Light Department,Hull MA,1.8 MW,1,2006,Vestas,In Service,"42.2727°, -70.8597°",1.8,42.2727,-70.8597
Humboldt Industrial Park Wind Farm,Humboldt Industrial Park Wind Farm,Humboldt Industrial Park,Community Wind,Pennsylvania Wind Energy,Energy Unlimited,Community Energy,Hazleton PA,0.13 MW,2,1999,,In Service,"40.9507°, -75.9735°",0.13,40.9507,-75.9735
Huron Schools,Huron Schools,Huron Schools,Definition:Small Scale Wind,Huron Schools,,Huron Schools,Huron OH,0.1 MW,1,2010,Northern Power Systems,In Service,"41.39615954°, -82.56472349°",0.1,41.39615954,-82.56472349
Hyannis Country Garden Wind Farm,Hyannis Country Garden Wind Farm,Hyannis Country Garden,Definition:Small Scale Wind,Hyannis Country Garden,,Hyannis Country Garden,Hyannis MA,0.1 MW,1,2008,DES,In Service,"41.6356667°, -70.2994661°",0.1,41.6356667,-70.2994661
Hyannis Wind Project,Hyannis Wind Project,Hyannis,Community Wind,,,,NE,,1,,SkyStream,,"41.998692°, -101.751648°",0,41.998692,-101.751648
Hydrogen Pilot Project Wind Farm,Hydrogen Pilot Project Wind Farm,Hydrogen Pilot Project,Definition:Small Scale Wind,Idaho Synthetic Fuels,Idaho Synthetic Fuels,,South of Boise ID,0.1 MW,2,2006,,In Service,"43.5141°, -116.088°",0.1,43.5141,-116.088
Hywind 2 Demonstration,Hywind 2 Demonstration,Hywind 2 Demonstration,Offshore Wind,Statoil North America,Statoil North America,,Atlantic Ocean ME,12 MW,4,,,Proposed,"43.524°, -69.534°",12,43.524,-69.534
IBEW Local 103 Wind Farm,IBEW Local 103 Wind Farm,IBEW Local 103,Definition:Small Scale Wind,IBEW Local 103,IBEW Local 103,IBEW Local 103,Dorchester MA,0.1 MW,1,2005,Fuhrlander,In Service,"42.3071°, -71.0331°",0.1,42.3071,-71.0331
IDGWP Wind Farm,IDGWP Wind Farm,IDGWP,Community Wind,Cedar Falls,Iowa Distributed Wind Generation Project,Cedar Falls,Algona IA,2.25 MW,3,1998,Zond,In Service,"43.0699663°, -94.233019°",2.25,43.0699663,-94.233019
Illini Central CUSD,Illini Central CUSD,Illini Central CUSD 189,,,,,"Illini Central CUSD 189, Mason City, Mason County, Illinois",,1,2011,SkyStream,In Service,"40.204044°, -89.709068°",0,40.204044,-89.709068
Illini Central CUSD 189 Wind Project,Illini Central CUSD 189 Wind Project,Illini Central CUSD 189,Community Wind,,,,IL,,1,,SkyStream,In Service,"40.204044°, -89.709068°",0,40.204044,-89.709068
Illinois Rural Electric Cooperative Wind Farm,Illinois Rural Electric Cooperative Wind Farm,Illinois Rural Electric Cooperative,Commercial Scale Wind,Illinois Rural Electric Cooperative,Illinois Rural Electric Cooperative,Illinois Rural Electric Cooperative,Pike County IL,1.65 MW,1,2005,Vestas,In Service,"39.6189°, -90.9627°",1.65,39.6189,-90.9627
Illinois Sustainable Technologies Center,Illinois Sustainable Technologies Center,Illinois Sustainable Technologies Center,Commercial Scale Wind,GSG 3- LLC,FPC/GSG wind,ComEd,Champaign IL,2.5 MW,1,2007,Clipper,In Service,"40.090615°, -88.242006°",2.5,40.090615,-88.242006
Inadale (Roscoe IV) Wind Farm,Inadale (Roscoe IV) Wind Farm,Inadale (Roscoe IV),Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,,Scurry and Nolan Counties TX,197 MW,197,2009,Mitsubishi,In Service,"32.346675°, -100.379717°",197,32.346675,-100.379717
Indian Mesa Wind Farm I,Indian Mesa Wind Farm I,Indian Mesa Wind Farm,Commercial Scale Wind,NextEra Energy Resources,National Wind Power; Orion Energy,TXU Electric & Gas- Lower Colorado River Authority,Pecos County TX,82.5 MW,125,2001,Vestas,In Service,"30.920167°, -102.116811°",82.5,30.920167,-102.116811
Indian Mesa Wind Farm II,Indian Mesa Wind Farm II,Indian Mesa Wind Farm,Commercial Scale Wind,Vestas,Great Plains Windpower,,Hansford County TX,3 MW,1,2003,Vestas,In Service,"36.278°, -101.345°",3,36.278,-101.345
Inland Empire Utility Agency (IEUA),Inland Empire Utility Agency (IEUA),Inland Empire Utility Agency (IEUA),Community Wind,Foundation Windpower,Foundation Windpower,IEUA,Chino CA,1 MW,1,2011,Mitsubishi,In Service,"34.08495622°, -117.5266421°",1,34.08495622,-117.5266421
